Template_ID;Template;Grade;Title;Source
0;<pers_pron_nom> verfügt über umfassende und vielseitige Fachkenntnisse, auch in Randbereichen.;Very Good;no;978-3-448-10119-5
0;<title> <name> verfügt über umfassende und vielseitige Fachkenntnisse, auch in Randbereichen.;Very Good;yes;978-3-448-10119-5
1;<pers_pron_nom> verfügt über umfassende und vielseitige Fachkenntnisse.;Good;no;978-3-448-10119-5
1;<title> <name> verfügt über umfassende und vielseitige Fachkenntnisse.;Good;yes;978-3-448-10119-5
2;<pers_pron_nom> verfügt über solide Fachkenntnisse.;Satisfactory;no;978-3-448-10119-5
2;<title> <name> verfügt über solide Fachkenntnisse.;Satisfactory;yes;978-3-448-10119-5
3;<pers_pron_nom> verfügt über ein solides Grundwissen in <poss_dat_m_n> Arbeitsbereich.;Sufficient;no;978-3-448-10119-5
3;<title> <name> verfügt über ein solides Grundwissen in <poss_dat_m_n> Arbeitsbereich.;Sufficient;yes;978-3-448-10119-5
4;<pers_pron_nom> verfügt über umfassende und vielseitige Fachkenntnisse, auch in Nebenbereichen.;Very Good;no;978-3-448-10119-5
4;<title> <name> verfügt über umfassende und vielseitige Fachkenntnisse, auch in Nebenbereichen.;Very Good;yes;978-3-448-10119-5
5;Alle Aufgaben führte <pers_pron_nom> selbstständig, planvoll und sorgfältig aus.;Very Good;no;978-3-448-10119-5
5;Alle Aufgaben führte <title> <name> selbstständig, planvoll und sorgfältig aus.;Very Good;yes;978-3-448-10119-5
6;Auch in Situationen mit extrem hohem Arbeitsanfall erwies <pers_pron_nom> sich als äußerst belastbar und agierte stets ruhig, überlegt und zielorientiert.;Very Good;no;978-3-448-10119-5
6;Auch in Situationen mit extrem hohem Arbeitsanfall erwies <title> <name> sich als äußerst belastbar und agierte stets ruhig, überlegt und zielorientiert.;Very Good;yes;978-3-448-10119-5
7;Mit unermüdlichem Einsatz und Innovationsgeist gab <pers_pron_nom> erfolgreich kontinuierlich Impulse zur Optimierung der Arbeitsabläufe.;Very Good;no;978-3-448-10119-5
7;Mit unermüdlichem Einsatz und Innovationsgeist gab <title> <name> erfolgreich kontinuierlich Impulse zur Optimierung der Arbeitsabläufe.;Very Good;yes;978-3-448-10119-5
8;<pers_pron_nom> überzeugte in <poss_dat_pl_acc_m> Tätigkeiten in qualitativer und quantitativer Hinsicht.;Very Good;no;978-3-448-10119-5
8;<title> <name> überzeugte in <poss_dat_pl_acc_m> Tätigkeiten in qualitativer und quantitativer Hinsicht.;Very Good;yes;978-3-448-10119-5
9;Besonders hervorzuheben sind <poss_nom_w_pl_acc_w_pl> rasche Auffassungsgabe und <poss_nom_w_pl_acc_w_pl> präzise Urteilsfähigkeit, zudem hat <pers_pron_nom> sich kontinuierlich in Abendkursen weitergebildet, um <poss_nom_w_pl_acc_w_pl> Kenntnisse auf dem neusten Stand zu halten.;Very Good;no;978-3-448-10119-5
9;Besonders hervorzuheben sind <title_dat_acc> <name_s> rasche Auffassungsgabe und <poss_nom_w_pl_acc_w_pl> präzise Urteilsfähigkeit, zudem hat <pers_pron_nom> sich kontinuierlich in Abendkursen weitergebildet, um <poss_nom_w_pl_acc_w_pl> Kenntnisse auf dem neusten Stand zu halten.;Very Good;yes;978-3-448-10119-5
10;Unsere Auszubildenden unterwies <pers_pron_nom> jederzeit ausgesprochen erfolgreich.;Very Good;no;978-3-448-10119-5
10;Unsere Auszubildenden unterwies <title> <name> jederzeit ausgesprochen erfolgreich.;Very Good;yes;978-3-448-10119-5
11;<pers_pron_nom> motivierte <poss_nom_w_pl_acc_w_pl> Mitarbeiter, die Auszubildenden und drei Gesellen, zu sehr guten Leistungen, wobei <pers_pron_nom> selbst als Vorbild agierte.;Very Good;no;978-3-448-10119-5
11;<title> <name> motivierte <poss_nom_w_pl_acc_w_pl> Mitarbeiter, die Auszubildenden und drei Gesellen, zu sehr guten Leistungen, wobei <pers_pron_nom> selbst als Vorbild agierte.;Very Good;yes;978-3-448-10119-5
12;<pers_pron_nom> hat die <pers_pron_dat> übertragenen Aufgaben immer zu unserer vollsten Zufriedenheit erfüllt.;Very Good;no;978-3-448-10119-5
12;<title> <name> hat die <pers_pron_dat> übertragenen Aufgaben immer zu unserer vollsten Zufriedenheit erfüllt.;Very Good;yes;978-3-448-10119-5
13;Durch <poss_nom_w_pl_acc_w_pl> sehr gute fachliche Leistung und <poss_nom_w_pl_acc_w_pl> untadelige Persönlichkeit erwarb <pers_pron_nom> sich die Anerkennung <poss_gen_w_pl_dat_w> Vorgesetzten, Kollegen und Mitarbeiter.;Very Good;no;978-3-448-10119-5
13;Durch <poss_nom_w_pl_acc_w_pl> sehr gute fachliche Leistung und <title_dat_acc> <name_s> untadelige Persönlichkeit erwarb <pers_pron_nom> sich die Anerkennung <poss_gen_w_pl_dat_w> Vorgesetzten, Kollegen und Mitarbeiter.;Very Good;yes;978-3-448-10119-5
14;Aufgrund <poss_gen_w_pl_dat_w> umgänglichen und hilfsbereiten Art war <pers_pron_nom> auch bei unseren Kunden sehr geschätzt und anerkannt.;Very Good;no;978-3-448-10119-5
14;Aufgrund <title_dat_acc> <name_s> umgänglichen und hilfsbereiten Art war <pers_pron_nom> auch bei unseren Kunden sehr geschätzt und anerkannt.;Very Good;yes;978-3-448-10119-5
15;<poss_nom_m_n_acc_n> Verhalten war stets vorbildlich.;Very Good;no;978-3-448-10119-5
15;<title_dat_acc> <name_s> Verhalten war stets vorbildlich.;Very Good;yes;978-3-448-10119-5
16;<pers_pron_nom> war jederzeit hochmotiviert und identifizierte sich voll mit <poss_dat_pl_acc_m> Aufgaben und dem Unternehmen.;Very Good;no;978-3-448-10119-5
16;<title> <name> war jederzeit hochmotiviert und identifizierte sich voll mit <poss_dat_pl_acc_m> Aufgaben und dem Unternehmen.;Very Good;yes;978-3-448-10119-5
17;Durch <poss_nom_w_pl_acc_w_pl> schnelle Auffassungsgabe beherrschte <pers_pron_nom> nach selbstständiger und kurzer Einarbeitungszeit <poss_nom_w_pl_acc_w_pl> Arbeitsgebiete umfassend.;Very Good;no;978-3-448-10119-5
17;Durch <poss_nom_w_pl_acc_w_pl> schnelle Auffassungsgabe beherrschte <title> <name> nach selbstständiger und kurzer Einarbeitungszeit <poss_nom_w_pl_acc_w_pl> Arbeitsgebiete umfassend.;Very Good;yes;978-3-448-10119-5
18;<pers_pron_nom> fand dabei jederzeit sehr gute Lösungen.;Very Good;no;978-3-448-10119-5
18;<title> <name> fand dabei jederzeit sehr gute Lösungen.;Very Good;yes;978-3-448-10119-5
19;Hervorzuheben ist auch <poss_nom_m_n_acc_n> Teamgeist in Zusammenarbeit mit der Geschäftsführung und unseren Mitarbeitern.;Very Good;no;978-3-448-10119-5
19;Hervorzuheben ist auch <title_dat_acc> <name_s> Teamgeist in Zusammenarbeit mit der Geschäftsführung und unseren Mitarbeitern.;Very Good;yes;978-3-448-10119-5
20;<poss_nom_m_n_acc_n> Verhalten gegenüber Vorgesetzten, Mitarbeitern und Kunden war stets vorbildlich.;Very Good;no;978-3-448-10119-5
20;<title_dat_acc> <name_s> Verhalten gegenüber Vorgesetzten, Mitarbeitern und Kunden war stets vorbildlich.;Very Good;yes;978-3-448-10119-5
21;Wir haben <pers_pron_acc> als einen sehr <goaloriented_acc>, <responsible_acc und <dynamic> <employee> kennen gelernt.;Very Good;no;978-3-448-10119-5
21;Wir haben <title_dat_acc> <name> als einen sehr <goaloriented_acc>, <responsible_acc und <dynamic> <employee> kennen gelernt.;Very Good;yes;978-3-448-10119-5
22;Neuen Ideen gegenüber war <pers_pron_nom> stets aufgeschlossen und handelte, wo immer erforderlich, sehr innovationsorientiert.;Very Good;no;978-3-448-10119-5
22;Neuen Ideen gegenüber war <title> <name> stets aufgeschlossen und handelte, wo immer erforderlich, sehr innovationsorientiert.;Very Good;yes;978-3-448-10119-5
23;Mit fundierten Fachkenntnissen und <poss_dat_m_n> großen Verkaufstalent trieb <pers_pron_nom> unser Geschäft voran.;Good;no;978-3-448-10119-5
23;Mit fundierten Fachkenntnissen und <poss_dat_m_n> großen Verkaufstalent trieb <title> <name> unser Geschäft voran.;Good;yes;978-3-448-10119-5
24;<pers_pron_nom> überzeugte durch <poss_nom_w_pl_acc_w_pl> strukturierte Arbeitsweise, die <pers_pron_nom> mit <poss_gen_w_pl_dat_w> langjährigen Vertriebserfahrung für unser Unternehmen stets gewinnbringend einsetzte.;Good;no;978-3-448-10119-5
